Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1185465_sample-4_model,csk-wtcat_apo/seed-1185465_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.24,73.31,14.7,,,6.39,13.9,2.9,,,,,3.45,8.11,7.36,9.82,3.74,8.06,4.96,3.34,3.54,3.54,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-0_model,csk-wtcat_apo/seed-1196810_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.17,71.8,14.6,,,6.4,13.88,2.82,,,,,3.52,8.03,7.33,9.85,4.08,8.1,4.62,3.28,3.61,3.51,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-1_model,csk-wtcat_apo/seed-1196810_sample-1,model.cif,A,CSK-WT,Inactive (BLBminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLBminus,NTout,CTin,53.45,69.91,15.19,,,5.54,14.62,3.74,,,,,3.52,8.08,7.26,9.94,4.13,9.74,4.89,3.37,3.97,3.51,N/A,0.92
csk-wtcat_apo_seed-1196810_sample-2_model,csk-wtcat_apo/seed-1196810_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.82,73.21,14.82,,,6.41,14.03,2.67,,,,,3.5,8.03,7.32,9.89,4.12,8.16,4.57,3.29,3.48,3.55,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-3_model,csk-wtcat_apo/seed-1196810_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.81,75.41,14.31,,,6.34,13.59,2.71,,,,,3.47,8.03,7.32,9.79,3.77,8.07,4.53,3.25,3.49,3.53,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-4_model,csk-wtcat_apo/seed-1196810_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.03,72.66,13.88,,,6.48,13.46,2.78,,,,,3.47,8.13,7.4,9.75,3.78,8.03,5.02,3.33,3.7,3.51,N/A,0.93
csk-wtcat_apo_seed-1209607_sample-0_model,csk-wtcat_apo/seed-1209607_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.97,73.2,14.15,,,6.45,13.5,2.75,,,,,3.48,8.14,7.38,9.85,3.78,8.09,5.09,3.36,4.18,3.54,N/A,0.93
csk-wtcat_apo_seed-1209607_sample-1_model,csk-wtcat_apo/seed-1209607_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.26,74.8,14.39,,,6.43,13.74,2.78,,,,,3.45,8.07,7.31,9.85,3.64,8.08,4.57,3.22,3.59,3.54,N/A,0.93
csk-wtcat_apo_seed-1209607_sample-2_model,csk-wtcat_apo/seed-1209607_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.16,73.82,14.3,,,6.4,13.65,2.74,,,,,3.44,8.14,7.37,9.82,3.69,8.04,5.07,3.34,3.53,3.55,N/A,0.93
csk-wtcat_apo_seed-1209607_sample-3_model,csk-wtcat_apo/seed-1209607_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.85,72.16,14.14,,,6.45,13.57,2.75,,,,,3.5,8.07,7.32,9.81,3.7,8.1,4.6,3.21,3.85,3.53,N/A,0.93
