Simulation_ID,Condition_designed,Condition_reviewed,Macro_State
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1754095_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1754095_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1754095_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1754095_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1777513_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1777513_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1777513_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1777513_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1777513_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1784045_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1784045_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1784045_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1784045_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1784045_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1931459_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1931459_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
