Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1321773_sample-4_model,csk-wtcat_apo/seed-1321773_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.95,75.0,14.5,,,6.41,13.63,2.75,,,,,3.42,8.04,7.32,9.75,3.74,8.04,4.71,3.23,3.78,3.54,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-0_model,csk-wtcat_apo/seed-1328343_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.75,75.16,14.38,,,6.41,13.66,2.75,,,,,3.45,8.09,7.34,9.81,3.71,8.06,4.68,3.3,4.43,3.52,N/A,0.94
csk-wtcat_apo_seed-1328343_sample-1_model,csk-wtcat_apo/seed-1328343_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.34,75.27,15.18,,,6.4,13.83,2.8,,,,,3.44,8.01,7.32,9.79,4.12,8.06,4.6,3.26,3.62,3.53,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-2_model,csk-wtcat_apo/seed-1328343_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.35,74.8,14.17,,,6.42,13.53,2.74,,,,,3.45,8.09,7.39,9.82,3.73,8.01,5.01,3.38,3.49,3.56,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-3_model,csk-wtcat_apo/seed-1328343_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.39,74.97,14.84,,,6.36,13.83,2.77,,,,,3.42,8.11,7.39,9.8,4.08,8.08,4.99,3.36,4.08,3.54,N/A,0.93
csk-wtcat_apo_seed-1328343_sample-4_model,csk-wtcat_apo/seed-1328343_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.82,73.49,14.29,,,6.37,13.62,2.77,,,,,3.46,8.07,7.34,9.82,3.68,8.1,4.65,3.28,3.96,3.53,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-0_model,csk-wtcat_apo/seed-1332499_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.51,76.86,13.89,,,6.41,13.55,2.7,,,,,3.46,8.09,7.38,9.77,3.75,8.0,5.03,3.41,2.66,3.54,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-1_model,csk-wtcat_apo/seed-1332499_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.4,74.24,14.01,,,6.36,13.52,2.71,,,,,3.46,8.11,7.35,9.79,3.74,8.04,5.06,3.33,3.69,3.51,N/A,0.93
csk-wtcat_apo_seed-1332499_sample-2_model,csk-wtcat_apo/seed-1332499_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.48,75.63,14.14,,,6.43,13.6,2.73,,,,,3.46,8.08,7.3,9.82,3.74,8.11,4.58,3.17,3.66,3.54,N/A,0.94
csk-wtcat_apo_seed-1332499_sample-3_model,csk-wtcat_apo/seed-1332499_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.54,74.75,14.06,,,6.38,13.66,2.72,,,,,3.39,8.09,7.36,9.77,3.71,8.05,5.03,3.34,3.56,3.53,N/A,0.93
